date,nav,scheme_code,fund_house,scheme_category,scheme_name
2013-01-09,10.0772,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-10,10.0794,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-11,10.0815,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-14,10.088,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-15,10.0902,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-16,10.0924,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-17,10.0946,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-18,10.0969,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-21,10.1036,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-22,10.1057,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-23,10.05,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-24,10.0521,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-28,10.0605,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-29,10.0626,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-30,10.0647,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-01-31,10.0668,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-01,10.0689,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-04,10.0751,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-05,10.0772,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-06,10.0793,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-07,10.0814,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-08,10.0833,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-11,10.0893,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-12,10.0915,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-13,10.0937,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-14,10.096,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-15,10.0983,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-18,10.1053,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-20,10.05,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-21,10.0523,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-22,10.0546,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-25,10.0614,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-26,10.0637,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-27,10.066,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-02-28,10.0683,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-01,10.0706,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-04,10.0773,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-05,10.0796,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-06,10.082,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-07,10.0844,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-08,10.0867,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-11,10.0936,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-12,10.096,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-13,10.0984,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-14,10.1007,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-15,10.1031,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-18,10.1102,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-19,10.1125,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-20,10.1148,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-21,10.1172,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-22,10.1195,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-25,10.1265,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-26,10.05,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-03-28,10.0544,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-01,10.0655,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-02,10.0681,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-03,10.0703,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-04,10.0726,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-05,10.0747,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-08,10.0825,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-09,10.0782,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-10,10.0804,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-12,10.0847,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-15,10.0911,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-16,10.0931,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
2013-04-17,10.0955,120317,LIC Mutual Fund,Debt Scheme - Low Duration Fund,LIC MF Low Duration Fund-Direct Plan-Monthly IDCW
